Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissements
500045;AJ;;0;7;8;4;14;5;11;4;10;12;13;;124;F;19;CEG KANDE VILLE I
500046;ADM;PASS;0;10;13;13;16;7;14;9;11;15;15;;186;F;14;CEG KANDE VILLE I
500047;ADM;PASS;0;7;10;4;14;8;15;10;12;12;15;;160;M;15;CEG KANDE VILLE I
500048;AJ;;0;3;8;6;8;4;11;6;10;15;15;;119;M;16;CEG KANDE VILLE I
500049;AJ;;0;3;10;5;12;3;13;9;12;12;12;;135;M;19;CEG KANDE VILLE I
500050;AJ;;0;9;11;5;10;7;7;9;11;14;0;;133;M;20;CEG PESSIDE
500051;ADM;PASS;0;11;11;8;16;7;13;13;13;10;15;;178;F;18;CEG KANDE VILLE I
500052;ADM;PASS;1;8;14;8;10;9;11;8;14;11;12;;160;M;17;CEG KANDE VILLE I
500053;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;M;18;CEG KANDE VILLE I
500054;ADM;PASS;0;7;14;5;16;7;13;8;12;10;13;;160;M;17;CEG KANDE VILLE I
500055;ADM;PASS;0;11;11;12;17;7;11;12;12;15;13;;183;M;17;CEG KANDE VILLE I
500056;ADM;PASS;4;6;12;6;18;10;15;10;13;10;15;;183;M;20;CEG KANDE VILLE I
500057;ADM;PASS;4;11;12;4;14;16;10;6;11;13;9;;164;M;18;CEG PESSIDE
500058;AJ;;0;3;11;4;7;6;7;5;8;0;8;;99;F;15;CEG KANDE VILLE I
500059;AJ;;0;5;11;4;13;7;12;9;13;14;13;;150;M;19;CEG KANDE VILLE I
500060;ADM;PASS;0;13;14;4;18;10;11;6;13;12;;15;172;F;18;CEG KANDE VILLE I
500061;ADM;PASS;4;10;12;8;15;10;11;11;12;11;13;;176;M;17;CEG KANDE VILLE I
500062;ADM;PASS;2;9;11;7;16;9;16;8;13;10;14;;175;M;15;CEG KANDE VILLE I
500063;ADM;ABIEN;15;10;14;7;18;12;15;10;15;15;14;;216;F;17;CEG KANDE VILLE I
500064;AJ;;0;1;12;4;10;8;8;5;10;14;5;;119;M;20;CEGIL KOUTOUGOU
500065;AJ;;0;8;13;4;14;7;11;2;10;15;12;;137;M;19;CEGIL KOUTOUGOU
500066;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;M;20;CEGIL KOUTOUGOU
500067;ADM;TBIEN;14;16;13;13;19;16;17;20;13;14;15;;261;M;14;CEG KANDE VILLE I
500068;ADM;PASS;6;3;14;6;17;11;14;11;11;10;10;;177;M;17;CEG KANDE VILLE I
500069;ADM;PASS;9;13;14;11;17;6;14;10;10;10;15;;191;M;15;CEG KANDE VILLE I
500070;ADM;ABIEN;9;11;11;10;18;10;18;12;10;10;15;;203;M;17;CEG KANDE VILLE I
500071;AJ;;0;6;11;9;15;8;12;7;9;10;11;;149;M;17;CEG KANDE VILLE I
500072;ADM;ABIEN;14;10;16;13;16;4;13;7;14;15;12;;197;M;20;CEG KANDE VILLE I
500073;ADM;PASS;9;10;13;6;16;12;17;8;11;10;14;;189;F;15;CEG KANDE VILLE I
500074;AJ;;0;2;11;6;14;6;8;8;13;15;14;;143;M;23;CEG KANDE VILLE I
500075;AJ;;0;6;14;4;12;13;11;5;11;15;8;;151;M;16;CEG PESSIDE
500076;ADM;PASS;13;10;10;6;17;7;16;5;13;11;12;;174;M;17;CEG KANDE VILLE I
500077;ADM;PASS;1;10;12;6;18;6;13;6;11;15;8;;160;M;21;CEG KANDE VILLE I
500078;AJ;;7;5;10;4;15;8;10;5;10;0;9;;136;F;20;CEG KANDE VILLE I
500079;AJ;;0;5;10;4;13;7;9;6;11;11;12;;128;F;16;CEG PESSIDE
500080;ADM;PASS;11;10;12;6;13;7;10;6;13;15;10;;160;F;16;CEG KANDE VILLE I
500081;ADM;PASS;0;3;12;6;18;10;11;8;10;15;14;;162;M;20;CEG KANDE VILLE I
500082;AJ;;0;6;12;4;14;7;13;5;11;12;9;;140;M;18;CEG PESSIDE
500083;AJ;;0;6;12;7;13;8;7;3;7;12;7;;122;M;19;CEG KANDE VILLE I
500084;AJ;;0;7;12;4;11;6;11;3;9;15;14;;128;F;18;CEG KANDE VILLE I
500085;ADM;TBIEN;10;17;18;17;20;14;20;17;16;14;15;;280;M;15;CEG KANDE VILLE I
500086;AJ;;0;8;11;8;13;6;10;5;10;15;6;;139;F;19;CEG KANDE VILLE I
500087;ADM;PASS;2;4;11;8;18;8;14;7;9;13;12;;161;M;17;CEG KANDE VILLE I
500088;AJ;;0;5;12;4;14;4;7;6;8;14;0;;119;F;15;CEG KANDE VILLE I
500089;ADM;PASS;11;13;13;7;15;7;16;7;14;15;14;;191;F;14;CEG KANDE VILLE I
500090;AJ;;0;5;10;7;12;3;7;5;11;15;15;;125;M;15;CEG KANDE VILLE I
500091;AJ;;0;5;11;7;13;5;11;6;10;15;14;;140;M;18;CEG KANDE VILLE I
500092;ADM;PASS;0;5;10;11;19;10;16;11;12;10;15;;188;M;15;CEG KANDE VILLE I
500093;ADM;PASS;0;7;12;12;17;9;14;8;11;12;15;;180;M;15;CEG KANDE VILLE I
500094;ADM;PASS;4;8;10;8;17;9;15;8;14;13;15;;182;M;16;CEG KANDE VILLE I
500095;AJ;;0;5;10;6;11;8;11;4;13;15;12;;138;F;15;CEG NADOBA
500096;ADM;PASS;4;13;12;9;17;12;15;9;11;11;13;;191;M;14;CEG KANDE VILLE I
500097;ADM;PASS;1;9;10;12;14;6;9;9;13;14;0;;160;F;15;CEG KANDE VILLE I
500098;ADM;PASS;0;5;12;9;14;7;13;9;11;11;15;;161;M;22;CEG KANDE VILLE I
500099;AJ;;0;9;9;5;12;3;8;4;10;14;9;;115;M;15;CEG PESSIDE
500100;ADM;PASS;0;5;10;12;16;7;11;7;13;10;14;;161;M;15;CEG KANDE VILLE I
500101;AJ;;0;4;9;9;11;3;8;7;10;12;14;;124;M;18;CEG KANDE VILLE I
500102;ADM;PASS;0;9;10;9;16;9;13;9;13;12;9;;169;M;18;CEG KANDE VILLE I
500103;ADM;PASS;0;3;10;10;14;6;13;8;14;12;15;;160;F;24;CEG KANDE VILLE I
500104;AJ;;0;3;10;7;14;10;10;7;10;10;12;;141;M;21;CEG PESSIDE
500105;ADM;PASS;0;8;11;10;14;8;14;10;11;12;15;;171;M;15;CEG KANDE VILLE I
500106;ADM;ABIEN;9;13;12;12;14;11;17;11;15;13;15;;214;M;14;CEG WARENGO
500107;ADM;PASS;0;4;12;9;17;8;15;9;15;14;12;;180;M;20;CEG WARENGO
500108;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;F;21;CEG KANDE VILLE I
500109;ADM;PASS;0;5;10;7;14;12;16;9;14;15;14;;178;M;23;CEG KANDE VILLE I
500110;AJ;;4;9;12;4;14;7;12;2;13;12;;;143;F;17;CEG KANDE VILLE I
500111;AJ;;0;5;11;6;14;10;12;6;10;15;9;;148;F;17;CEG KANDE VILLE I
500112;AJ;;0;5;11;6;11;6;12;6;13;15;10;;140;M;18;CEG NADOBA
500113;ADM;BIEN;0;10;13;13;19;12;17;18;16;13;15;;234;M;16;CEG NADOBA
500114;ADM;ABIEN;0;7;12;9;17;9;17;14;17;14;15;;206;M;14;CEG NADOBA
500115;ADM;PASS;2;10;10;7;14;8;16;6;16;15;13;;174;F;15;CEG WARENGO
500116;ADM;PASS;0;8;10;14;13;10;16;11;12;15;15;;190;F;17;CEG NADOBA
500117;AJ;;0;5;11;9;12;4;10;7;9;;15;6;134;M;14;CEG KANDE VILLE I
500118;ADM;ABIEN;2;16;16;11;15;9;13;9;14;12;11;;195;M;14;CEG WARENGO
500119;AJ;;0;8;11;5;14;4;6;4;12;15;12;;127;F;20;CEG KANDE VILLE I
500120;AJ;;0;8;10;7;11;4;7;4;10;14;8;;118;F;16;CEG KANDE VILLE I
500121;AJ;;0;6;9;7;17;7;11;4;12;13;12;;145;F;20;CEG KANDE VILLE I
500122;ADM;PASS;0;10;12;11;17;6;12;8;11;10;15;;169;M;14;CEG KANDE VILLE I
500123;ADM;PASS;2;11;11;12;16;8;13;5;13;15;;;174;F;17;CEG KANDE VILLE I
500124;ADM;PASS;1;7;10;8;16;7;10;8;14;15;12;;161;M;16;CEG KANDE VILLE I
500125;ADM;ABIEN;0;7;13;8;16;10;16;15;14;14;14;;199;M;19;CEG NADOBA
500126;ADM;ABIEN;2;8;14;14;18;13;17;9;15;15;15;;220;F;16;CEG NADOBA
500127;ADM;ABIEN;18;16;12;11;18;17;13;4;11;13;14;;213;F;15;CEG KANDE VILLE I
500128;ADM;ABIEN;0;7;10;8;15;7;18;18;14;15;15;;197;M;16;CEG NADOBA
500129;ADM;PASS;8;9;10;5;15;9;14;12;15;15;8;;182;M;15;CEG PESSIDE
500130;AJ;;0;8;9;4;9;4;7;13;9;14;6;;122;M;23;CEG KANDE VILLE I
500131;ADM;PASS;1;6;9;9;13;7;13;15;8;15;8;;160;M;17;CEG KANDE VILLE I
500132;AJ;;4;8;9;4;13;5;8;10;9;15;7;;133;M;17;CEG KANDE VILLE I
500133;AJ;;0;4;10;4;13;7;12;14;10;13;14;;151;M;16;CEG KANDE VILLE I
500134;ADM;PASS;9;3;10;4;13;10;12;17;15;12;12;;178;M;13;CEG NADOBA
500135;ADM;PASS;0;4;11;4;17;5;13;17;14;15;14;;175;M;13;CEG NADOBA
500136;ADM;ABIEN;2;11;11;8;18;8;17;17;12;13;15;;203;M;18;CEG KANDE VILLE I
500137;ADM;ABIEN;7;10;12;9;15;6;14;16;12;13;15;;193;M;14;CEG WARENGO
500138;ADM;ABIEN;14;7;10;5;17;15;16;16;11;10;13;;204;M;17;CEG KANDE VILLE I
500139;ADM;ABIEN;12;11;15;7;16;6;10;17;11;15;15;;197;F;18;CEG NADOBA
500140;AJ;;0;5;11;6;13;5;6;11;11;12;9;;133;M;17;CEG KANDE VILLE I
500141;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;M;19;CEG KANDE VILLE I
500142;AJ;;0;8;10;4;9;6;12;12;11;15;8;;141;F;19;CEG KANDE VILLE I
500143;AJ;;0;8;10;6;10;10;8;16;9;14;3;;150;M;18;CEG PESSIDE
500144;ADM;PASS;4;9;11;7;13;10;14;14;13;15;10;;182;M;14;CEG NADOBA
500145;ADM;PASS;0;5;10;8;15;7;13;17;13;15;13;;179;F;16;CEG NADOBA
500146;AJ;;0;4;10;7;7;7;13;18;9;15;8;;151;F;16;CEG NADOBA
500147;AJ;;0;7;11;5;12;5;13;17;7;0;9;;147;F;22;CEG KANDE VILLE I
500148;ADM;PASS;0;9;10;6;13;7;13;14;11;13;12;;162;M;18;CEG KANDE VILLE I
500149;AJ;;0;4;10;4;15;5;10;14;8;12;12;;140;M;16;CEG KANDE VILLE I
500150;AJ;;0;7;9;6;12;6;9;13;9;11;5;;136;M;15;CEG PESSIDE
500151;ADM;ABIEN;13;7;10;6;16;11;16;13;16;15;15;;206;M;16;CEG KANDE VILLE I
500152;ADM;PASS;1;2;10;6;14;7;10;12;15;15;15;;161;M;19;CEG KANDE VILLE I
500153;ADM;PASS;0;7;11;7;14;4;11;15;13;13;7;;160;M;16;CEG KANDE VILLE I
500154;ADM;PASS;1;12;9;6;17;7;13;7;13;11;12;;160;M;15;CEG KANDE VILLE I
500155;ADM;PASS;1;8;10;6;14;4;12;16;13;14;11;;164;M;17;CEG KANDE VILLE I
500156;ADM;PASS;5;8;10;7;12;8;11;16;8;10;13;;160;M;14;CEG KANDE VILLE I
500157;ADM;PASS;9;7;10;7;12;8;9;14;10;15;4;;161;F;15;CEG KANDE VILLE I
500158;ADM;BIEN;18;18;13;16;16;10;17;18;15;13;13;;252;F;16;CEG KANDE VILLE I
500159;ADM;PASS;0;7;9;4;16;10;13;15;11;11;13;;167;F;18;CEG KANDE VILLE I
500160;ADM;PASS;1;7;9;5;14;6;15;15;16;15;11;;174;F;15;CEG KANDE VILLE I
500161;ADM;PASS;7;8;11;5;14;8;14;15;14;15;12;;184;F;18;CEG KANDE VILLE I
500162;AJ;;0;6;9;4;13;3;10;14;11;0;8;;134;F;17;CEG KANDE VILLE I
500163;ADM;ABIEN;4;8;11;12;18;6;14;17;12;13;13;;198;M;16;CEG KANDE VILLE I
500164;ADM;PASS;2;9;10;9;16;5;15;19;11;12;9;;183;M;21;CEG KANDE VILLE I
500165;AJ;;0;8;10;5;10;4;6;13;16;14;7;;140;F;19;CEG KANDE VILLE I
500166;ADM;PASS;7;7;9;5;11;8;13;13;17;15;14;;175;M;14;CEG PESSIDE
500167;ADM;PASS;0;7;10;4;17;5;10;15;17;14;15;;172;M;15;CEG KANDE VILLE I
500168;ADM;PASS;16;9;14;5;18;4;13;0;18;10;14;;173;M;17;CEG KANDE VILLE I
500169;AJ;;0;0;0;0;0;0;0;13;0;0;0;;26;F;17;CEG KANDE VILLE I
500170;AJ;;0;2;11;4;7;5;3;14;11;13;6;;115;F;16;CEG KANDE VILLE I
500171;ADM;PASS;1;7;9;9;13;11;7;8;16;15;12;;161;F;15;CEG KANDE VILLE I
500172;ADM;PASS;0;7;8;8;16;10;15;8;13;11;15;;169;M;19;CEG KANDE VILLE I
500173;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;M;19;CEG KANDE VILLE I
500174;AJ;;0;9;10;6;12;9;5;5;10;15;12;;130;M;19;CEG KANDE VILLE I
500175;ADM;PASS;13;5;11;5;19;9;15;5;12;12;12;;174;M;16;CEG KANDE VILLE I
500176;ADM;PASS;0;11;11;7;14;10;11;10;11;11;10;;160;F;14;CEG KANDE VILLE I
500177;ADM;PASS;2;9;11;6;12;14;9;7;13;15;10;;160;F;17;CEG KANDE VILLE I
500178;ADM;ABIEN;0;9;12;12;14;13;16;12;13;12;7;;195;M;18;CEG WARENGO
500179;AJ;;0;7;12;6;15;8;12;2;11;15;10;;144;M;23;CEG PESSIDE
500180;ADM;PASS;0;12;13;8;17;14;17;7;9;13;15;;190;M;15;CEG KANDE VILLE I
500181;AJ;;0;6;11;4;8;13;6;6;10;15;11;;128;M;25;CEG KANDE VILLE I
500182;ADM;TBIEN;4;8;16;15;20;15;20;18;16;15;14;;261;M;14;CEG NADOBA
500183;ADM;PASS;1;4;10;8;14;8;13;10;11;15;12;;160;M;17;CEG KANDE VILLE I
500184;ADM;BIEN;15;15;12;15;16;12;16;12;15;14;15;;235;M;16;CEG WARENGO
500185;ADM;PASS;0;2;10;7;16;11;15;9;10;15;15;;168;M;17;CEG KANDE VILLE I
500186;ADM;PASS;0;10;14;9;17;12;13;10;12;12;15;;191;M;15;CEG KANDE VILLE I
500187;ADM;PASS;0;6;10;10;17;10;15;8;13;14;11;;177;M;16;CEG KANDE VILLE I
500188;ADM;PASS;1;10;14;4;13;11;15;7;15;13;15;;177;F;16;CEG KANDE VILLE I
500189;ADM;PASS;0;5;11;8;15;7;17;11;14;15;15;;181;M;18;CEG NADOBA
500190;AJ;;0;8;10;6;14;11;8;5;10;15;15;;146;M;18;CEGIL KOUTOUGOU
500191;ADM;PASS;0;9;11;7;17;11;12;6;11;10;12;;161;M;15;CEG KANDE VILLE I
500192;AJ;;0;6;10;4;13;12;12;5;11;15;12;;147;M;14;CEG KANDE VILLE I
500193;ADM;PASS;0;12;11;10;16;13;14;9;11;10;15;;185;M;17;CEG KANDE VILLE I
500194;ADM;ABIEN;5;12;13;8;17;11;15;10;13;15;15;;201;M;16;CEG NADOBA
500195;ADM;BIEN;12;13;16;9;19;15;19;8;12;Inap.;15;;226;M;15;CEG WARENGO
500196;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;F;15;CEG KANDE VILLE I
500197;AJ;;0;3;9;4;13;11;8;4;12;15;5;;130;M;18;CEG NADOBA
500198;AJ;;0;7;10;4;13;12;8;2;10;10;5;;125;M;14;CEG KANDE VILLE I
500199;ADM;PASS;0;10;16;6;15;17;13;4;13;15;15;;188;M;21;CEG PESSIDE
500200;AJ;;0;3;10;4;11;14;5;2;10;15;9;;120;F;19;CEG KANDE VILLE I
500201;AJ;;0;8;10;4;13;12;5;5;9;13;8;;127;M;16;CEG KANDE VILLE I
500202;ADM;ABIEN;9;10;13;4;18;17;16;5;17;15;15;;209;M;15;CEG WARENGO
500203;ADM;PASS;1;6;11;5;13;11;14;9;12;13;9;;160;M;14;CEG NADOBA
500204;ADM;PASS;1;8;10;7;11;10;15;11;10;13;7;;160;F;17;CEG NADOBA
500205;ADM;PASS;0;3;11;5;15;12;15;8;11;15;11;;163;F;17;CEG NADOBA
500206;ADM;PASS;0;5;9;7;16;12;15;7;11;15;7;;164;F;16;CEG NADOBA
500207;AJ;;0;4;9;6;13;13;11;4;8;14;13;;139;M;15;CEG KANDE VILLE I
500208;ADM;ABIEN;0;7;10;11;16;12;16;12;11;14;15;;192;M;17;CEG KANDE VILLE I
500209;ADM;ABIEN;4;7;16;9;17;12;18;10;15;15;15;;215;M;15;CEG NADOBA
500210;ADM;PASS;0;6;13;5;17;12;13;8;12;13;14;;173;M;17;CEG KANDE VILLE I
500211;ADM;PASS;0;8;13;6;18;12;11;9;14;12;14;;180;M;15;CEG KANDE VILLE I
500212;AJ;;0;6;9;5;14;13;11;2;16;15;6;;151;M;19;CEG KANDE VILLE I
500213;ADM;PASS;3;10;14;6;17;8;15;7;13;10;15;;178;M;14;CEG KANDE VILLE I
500214;AJ;;0;7;12;6;9;6;9;5;14;13;10;;132;F;17;CEG KANDE VILLE I
500215;AJ;;0;10;10;4;12;10;6;3;16;15;10;;137;F;16;CEG PESSIDE
500216;ADM;PASS;1;6;9;5;17;7;16;4;17;11;13;;161;M;18;CEG KANDE VILLE I
500217;AJ;;0;7;12;5;12;8;10;3;12;10;10;;131;M;17;CEG KANDE VILLE I
500218;ADM;PASS;0;15;13;8;14;11;13;7;19;15;10;;190;M;19;CEGIL KOUTOUGOU
500219;ADM;ABIEN;15;9;14;6;16;11;18;8;12;13;15;;202;M;17;CEG KANDE VILLE I
500220;ADM;PASS;0;10;12;6;14;8;16;2;17;15;10;;165;F;17;CEG KANDE VILLE I
500231;AJ;;0;5;12;6;16;7;8;6;12;10;9;;139;M;16;CEG KANDE VILLE I
500232;ADM;ABIEN;5;9;12;9;16;9;18;10;15;Inap.;7;;192;M;16;CEG NADOBA
500233;ADM;PASS;0;8;12;6;14;12;15;9;15;15;12;;181;M;21;CEG NADOBA
500234;ADM;PASS;1;8;13;6;16;8;13;5;12;10;;15;160;F;17;CEG KANDE VILLE I
500235;ADM;ABIEN;0;8;11;13;18;8;14;13;15;10;12;;194;M;15;CEG KANDE VILLE I
500236;ADM;PASS;0;6;12;8;15;8;13;9;15;15;0;;171;M;22;CEG KANDE VILLE I
500237;ADM;PASS;0;12;11;10;12;11;11;11;12;15;0;;173;M;18;CEG KANDE VILLE I
500238;ADM;PASS;0;9;10;5;15;13;15;8;15;12;15;;178;M;20;CEG PESSIDE
500239;AJ;;0;5;11;4;12;7;6;6;9;10;11;;116;F;17;CEG KANDE VILLE I
500240;AJ;;2;5;11;7;12;9;8;8;10;15;9;;142;F;17;CEG KANDE VILLE I
500241;AJ;;0;7;10;9;15;8;7;8;10;15;14;;150;F;22;CEG KANDE VILLE I
500242;ADM;PASS;1;6;13;8;16;7;10;10;11;13;10;;160;M;16;CEG KANDE VILLE I
500243;ADM;PASS;1;6;10;6;17;7;12;10;11;15;13;;161;M;18;CEG KANDE VILLE I
500244;AJ;;0;5;13;6;11;5;14;9;10;13;6;;144;M;14;CEG KANDE VILLE I
500245;ADM;PASS;1;8;11;8;15;9;13;8;9;12;14;;161;M;17;CEG KANDE VILLE I
500246;AJ;;0;6;11;4;15;4;10;5;13;15;13;;138;M;15;CEG PESSIDE
500247;AJ;;0;6;12;4;11;4;8;2;10;15;0;;113;M;15;CEG KANDE VILLE I
500248;ADM;PASS;0;13;13;8;15;6;9;9;12;12;13;;162;F;14;CEG KANDE VILLE I
500249;ADM;PASS;1;8;13;8;13;8;13;10;11;10;10;;161;M;18;CEG KANDE VILLE I
500250;ADM;PASS;0;6;11;9;17;7;17;13;11;15;11;;182;M;18;CEG NADOBA
500251;AJ;;0;8;10;5;12;6;13;11;12;11;6;;147;M;15;CEG NADOBA
500252;ADM;ABIEN;0;8;12;11;16;7;18;13;15;14;11;;197;M;17;CEG NADOBA
500253;ADM;ABIEN;9;6;13;8;17;7;18;10;15;15;14;;200;M;19;CEG WARENGO
500254;ADM;BIEN;4;14;16;13;20;8;18;12;19;10;15;;235;M;14;CEG KANDE VILLE I
500255;ADM;PASS;0;9;15;7;17;3;14;10;13;15;15;;177;M;17;CEG NADOBA
500256;ADM;ABIEN;0;10;17;6;16;6;16;14;13;15;15;;196;M;16;CEG NADOBA
500257;ADM;ABIEN;8;6;13;9;19;10;17;12;13;14;15;;209;M;17;CEG NADOBA
500258;AJ;;0;4;10;4;16;3;7;6;12;12;10;;122;M;17;CEG KANDE VILLE I
500259;AJ;;0;12;12;4;17;3;6;6;13;10;10;;134;M;15;CEG KANDE VILLE I
500260;ADM;PASS;8;6;13;4;16;8;12;6;12;15;9;;161;F;15;CEG KANDE VILLE I
500261;ADM;PASS;0;10;10;13;17;3;18;11;13;12;15;;187;M;15;CEG WARENGO
500262;ADM;PASS;0;4;11;8;17;6;15;8;11;13;15;;164;M;17;CEG KANDE VILLE I
500263;AJ;;0;3;11;6;15;5;12;6;12;14;15;;146;M;14;CEG NADOBA
500264;ADM;PASS;0;8;12;6;18;10;12;9;12;11;9;;167;F;18;CEG KANDE VILLE I
500265;AJ;;0;7;11;5;13;7;13;5;14;15;7;;148;M;17;CEG NADOBA
500266;ADM;ABIEN;0;7;11;11;16;10;14;13;17;15;0;;196;F;16;CEG KANDE VILLE I
500267;ADM;PASS;0;6;10;11;16;6;19;11;15;15;14;;191;M;17;CEG WARENGO
500268;AJ;;0;3;9;6;17;4;17;3;13;0;13;;144;M;19;CEG KANDE VILLE I
500269;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;M;18;CEG NADOBA
500270;ADM;PASS;0;10;11;6;14;7;13;9;14;10;12;;160;M;14;CEG KANDE VILLE I
500271;AJ;;0;5;10;6;10;9;8;4;13;11;12;;128;M;15;CEG KANDE VILLE I
500272;ADM;PASS;1;9;10;8;14;9;12;5;14;14;13;;161;M;18;CEG KANDE VILLE I
500273;AJ;;0;6;10;4;13;8;11;3;13;15;10;;135;M;15;CEG KANDE VILLE I
500274;ADM;PASS;0;4;11;6;16;6;18;9;15;12;12;;170;M;21;CEG KANDE VILLE I
500275;ADM;PASS;0;4;11;6;15;11;16;9;14;12;14;;174;F;18;CEG KANDE VILLE I
500276;AJ;;0;1;9;6;7;10;7;3;12;14;5;;113;F;15;CEG KANDE VILLE I
500277;ADM;ABIEN;0;12;10;9;20;10;18;7;17;15;15;;204;M;15;CEG WARENGO
500278;ADM;PASS;1;8;11;5;15;10;10;6;14;15;14;;160;M;23;CEG KANDE VILLE I
